pc_time,seq,tick_ms,bitmap,sensor_1_x_gs,sensor_1_y_gs,sensor_1_z_gs,sensor_2_x_gs,sensor_2_y_gs,sensor_2_z_gs,sensor_3_x_gs,sensor_3_y_gs,sensor_3_z_gs,sensor_4_x_gs,sensor_4_y_gs,sensor_4_z_gs,sensor_5_x_gs,sensor_5_y_gs,sensor_5_z_gs,sensor_6_x_gs,sensor_6_y_gs,sensor_6_z_gs,sensor_7_x_gs,sensor_7_y_gs,sensor_7_z_gs,sensor_8_x_gs,sensor_8_y_gs,sensor_8_z_gs,sensor_9_x_gs,sensor_9_y_gs,sensor_9_z_gs,sensor_10_x_gs,sensor_10_y_gs,sensor_10_z_gs,sensor_11_x_gs,sensor_11_y_gs,sensor_11_z_gs,sensor_12_x_gs,sensor_12_y_gs,sensor_12_z_gs,imu_seq,imu_tick_ms,ax,ay,az,gx,gy,gz,temp
1780493821.395776,103101,493295,0x0FFF,0.428943,0.395947,-0.934875,0.340955,0.571924,-0.945874,0.285962,0.307959,-0.945874,0.197974,-0.703906,1.231836,0.065991,-0.384949,1.231836,0.054993,-0.208972,1.253833,0.175977,0.318958,-1.000867,0.197974,0.516931,-0.780896,0.186975,0.505933,-0.923877,0.230969,-0.384949,0.956873,0.109985,-0.351953,1.154846,0.241968,-0.109985,1.187842,103100,493293,-100,106,8232,-14,0,-21,633
1780493821.397960,103102,493297,0x0FFF,0.439941,0.406946,-0.978870,0.406946,0.417944,-1.000867,0.329956,0.373950,-1.000867,0.263965,-0.659912,1.231836,0.120984,-0.395947,1.231836,-0.076990,-0.263965,1.341821,0.131982,0.219971,-1.011865,0.197974,0.417944,-0.769897,0.219971,0.373950,-0.802893,0.285962,-0.351953,1.000867,0.219971,-0.384949,1.165845,0.186975,-0.252966,1.220837,103100,493293,-100,106,8232,-14,0,-21,633
1780493821.400096,103104,493299,0x0FFF,0.516931,0.263965,-1.088855,0.252966,0.483936,-0.912878,0.230969,0.340955,-0.835889,0.285962,-0.571924,1.319824,0.098987,-0.329956,1.198840,0.043994,-0.208972,1.352820,0.164978,0.219971,-1.022864,0.109985,0.417944,-0.934875,0.054993,0.417944,-0.945874,0.186975,-0.472937,1.000867,0.186975,-0.318958,1.022864,0.109985,-0.208972,1.165845,103103,493297,-104,114,8223,-16,-2,-20,631
1780493821.402362,103105,493301,0x0FFF,0.439941,0.384949,-0.956873,0.285962,0.384949,-0.868884,0.307959,0.351953,-0.945874,0.208972,-0.604919,1.286829,0.109985,-0.318958,1.154846,0.000000,-0.241968,1.264832,0.197974,0.395947,-1.033862,0.153979,0.351953,-0.879883,0.142981,0.417944,-0.934875,0.175977,-0.417944,1.077856,0.131982,-0.362952,1.088855,0.131982,-0.120984,1.242834,103103,493297,-104,114,8223,-16,-2,-20,631
1780493821.403356,103107,493303,0x0FFF,0.428943,0.252966,-0.989868,0.252966,0.439941,-0.912878,0.219971,0.307959,-0.868884,0.241968,-0.571924,1.187842,0.043994,-0.395947,1.187842,0.065991,-0.252966,1.297827,0.230969,0.263965,-0.890881,0.197974,0.483936,-0.791895,0.142981,0.439941,-0.813892,0.241968,-0.395947,0.956873,0.175977,-0.483936,1.121851,0.175977,-0.241968,1.176843,103106,493302,-92,114,8243,-16,-4,-24,635
1780493821.406511,103108,493305,0x0FFF,0.450940,0.384949,-1.011865,0.307959,0.516931,-0.857886,0.296960,0.362952,-0.857886,0.274963,-0.604919,1.121851,0.109985,-0.373950,1.264832,0.087988,-0.263965,1.286829,0.252966,0.351953,-1.044861,0.175977,0.296960,-0.835889,0.065991,0.461938,-0.791895,0.175977,-0.395947,1.011865,0.164978,-0.318958,1.132849,0.087988,-0.186975,1.187842,103106,493302,-92,114,8243,-16,-4,-24,635
1780493821.408664,103109,493308,0x0FFF,0.450940,0.428943,-0.901880,0.329956,0.582922,-1.044861,0.175977,0.230969,-0.835889,0.230969,-0.637915,1.132849,0.076990,-0.461938,1.308826,-0.054993,-0.285962,1.308826,0.241968,0.351953,-0.934875,0.142981,0.395947,-0.747900,0.131982,0.450940,-0.923877,0.153979,-0.406946,0.945874,0.153979,-0.417944,1.176843,0.241968,-0.230969,1.297827,103106,493302,-92,114,8243,-16,-4,-24,635
1780493821.409637,103111,493310,0x0FFF,0.439941,0.340955,-0.912878,0.241968,0.549927,-0.978870,0.252966,0.362952,-0.978870,0.175977,-0.604919,1.132849,0.120984,-0.351953,1.176843,-0.021997,-0.329956,1.363818,0.252966,0.318958,-0.956873,0.219971,0.340955,-0.846887,0.109985,0.362952,-1.000867,0.175977,-0.428943,0.956873,0.032996,-0.274963,1.132849,0.087988,-0.109985,1.231836,103110,493308,-89,115,8244,-15,-1,-22,641
1780493821.411898,103112,493312,0x0FFF,0.560925,0.340955,-0.923877,0.263965,0.494934,-0.967871,0.318958,0.274963,-0.978870,0.197974,-0.714905,1.198840,0.120984,-0.384949,1.143848,0.065991,-0.252966,1.352820,0.164978,0.329956,-1.044861,0.120984,0.450940,-0.769897,0.043994,0.428943,-0.901880,0.197974,-0.384949,1.077856,0.186975,-0.285962,1.110852,0.175977,-0.208972,1.220837,103110,493308,-89,115,8244,-15,-1,-22,641
1780493821.414013,103114,493314,0x0FFF,0.384949,0.384949,-0.956873,0.329956,0.505933,-0.857886,0.164978,0.417944,-0.802893,0.219971,-0.626917,1.198840,0.043994,-0.351953,1.242834,0.000000,-0.274963,1.330823,0.241968,0.351953,-0.934875,0.252966,0.406946,-0.901880,0.076990,0.318958,-0.989868,0.197974,-0.340955,0.989868,0.263965,-0.296960,1.198840,0.164978,-0.241968,1.110852,103113,493312,-91,104,8235,-16,-2,-18,643
