pc_time,ak_seq,ak_tick_ms,ak_topic,coil_state,coil_channel,coil_state_index,coil_state_time,coil_dwell_s,coil_frequency_hz,coil_amplitude_v,coil_offset_v,sensor_1_x_gs,sensor_1_y_gs,sensor_1_z_gs,sensor_2_x_gs,sensor_2_y_gs,sensor_2_z_gs,sensor_3_x_gs,sensor_3_y_gs,sensor_3_z_gs,sensor_4_x_gs,sensor_4_y_gs,sensor_4_z_gs,sensor_5_x_gs,sensor_5_y_gs,sensor_5_z_gs,sensor_6_x_gs,sensor_6_y_gs,sensor_6_z_gs,sensor_7_x_gs,sensor_7_y_gs,sensor_7_z_gs,sensor_8_x_gs,sensor_8_y_gs,sensor_8_z_gs,sensor_9_x_gs,sensor_9_y_gs,sensor_9_z_gs,sensor_10_x_gs,sensor_10_y_gs,sensor_10_z_gs,sensor_11_x_gs,sensor_11_y_gs,sensor_11_z_gs,sensor_12_x_gs,sensor_12_y_gs,sensor_12_z_gs,imu_raw_seq,imu_raw_tick_ms,imu_raw_ax,imu_raw_ay,imu_raw_az,imu_raw_gx,imu_raw_gy,imu_raw_gz,imu_raw_temp,imu_seq,imu_av_x,imu_av_y,imu_av_z,imu_la_x,imu_la_y,imu_la_z,sensor_array_filt_pos_x,sensor_array_filt_pos_y,sensor_array_filt_pos_z,sensor_array_filt_rot_x,sensor_array_filt_rot_y,sensor_array_filt_rot_z,sensor_array_filt_rot_w,diana7_em_tcp_filt_pos_x,diana7_em_tcp_filt_pos_y,diana7_em_tcp_filt_pos_z,diana7_em_tcp_filt_rot_x,diana7_em_tcp_filt_rot_y,diana7_em_tcp_filt_rot_z,diana7_em_tcp_filt_rot_w,arm1_em_tcp_filt_pos_x,arm1_em_tcp_filt_pos_y,arm1_em_tcp_filt_pos_z,arm1_em_tcp_filt_rot_x,arm1_em_tcp_filt_rot_y,arm1_em_tcp_filt_rot_z,arm1_em_tcp_filt_rot_w,arm2_em_tcp_filt_pos_x,arm2_em_tcp_filt_pos_y,arm2_em_tcp_filt_pos_z,arm2_em_tcp_filt_rot_x,arm2_em_tcp_filt_rot_y,arm2_em_tcp_filt_rot_z,arm2_em_tcp_filt_rot_w
1780562356.955064535,29540,1350027,stm_uplink_raw,coil_1_on,1,0,1780562356.953894138,0.25,1.0,5.0,2.5,1.286828637,1.605786085,-2.056725979,1.209838867,1.781762719,-2.155712843,1.132849097,1.726770043,-2.111718655,1.253833055,-1.869750977,2.166711330,1.055859327,-1.594787598,2.287695408,1.077856421,-1.517797828,2.397680759,1.044860840,1.638781786,-2.177710056,1.176843286,1.616784692,-2.111718655,1.154846191,1.726770043,-2.155712843,0.978869617,-1.671777368,1.935742140,1.099853516,-1.649780273,2.221704006,1.231835961,-1.517797828,2.496667385,161491,1350024,5852,5705,264,-18,-5,-22,-5,12268,-0.002660562884137698,0.009578026382895712,-0.01170647669020587,6.829460235595703,-7.005434057617187,0.316034619140625,0.20196335759413547,0.15839292895255325,0.20240840330148716,0.011686613706592415,0.006808827384955321,-0.9423220070476817,0.3344342954353574,0.18781693611268394,-0.08084039013994497,0.23496411210382373,0.8176025512172891,0.002988437807380014,0.021184194503026554,-0.5753854076927127,0.011671148569627185,0.2722904965248025,0.2610553233391679,-0.3672825086295682,0.7718543189107074,-0.46625823706627717,0.2279204369983228,0.34411598843474145,0.3031330105526665,0.24195352541116616,0.27299248035176366,0.769906361297276,-0.5403851140704125,-0.20175041263027826
1780562356.957472324,29541,1350029,stm_uplink_raw,coil_1_on,1,0,1780562356.953894138,0.25,1.0,5.0,2.5,1.264831543,1.748767138,-2.056725979,1.253833055,1.737768531,-2.122717381,1.176843286,1.704772949,-2.023730516,1.264831543,-1.847753882,2.221704006,1.055859327,-1.594787598,2.364685059,1.022863746,-1.506799340,2.518664598,1.022863746,1.473803759,-2.144714355,1.121850610,1.649780273,-2.089721680,1.143847704,1.638781786,-2.243701220,1.187841773,-1.649780273,2.045727491,1.055859327,-1.649780273,2.232702732,1.264831543,-1.550793409,2.452673435,161494,1350028,5847,5711,275,-16,-4,-21,-9,12269,-0.0021284503073101583,0.008513801229240633,-0.01117436411337833,6.836642840576172,-6.999448553466796,0.32920272827148434,0.20196335759413547,0.15839292895255325,0.20240840330148716,0.011686613706592415,0.006808827384955321,-0.9423220070476817,0.3344342954353574,0.18781693611268394,-0.08084039013994497,0.23496411210382373,0.8176025512172891,0.002988437807380014,0.021184194503026554,-0.5753854076927127,0.011671148569627185,0.2722904965248025,0.2610553233391679,-0.3672825086295682,0.7718543189107074,-0.46625823706627717,0.2279204369983228,0.34411598843474145,0.3031330105526665,0.24195352541116616,0.27299248035176366,0.769906361297276,-0.5403851140704125,-0.20175041263027826
1780562356.958731890,29542,1350032,stm_uplink_raw,coil_1_on,1,0,1780562356.953894138,0.25,1.0,5.0,2.5,1.253833055,1.726770043,-2.111718655,1.275830030,1.770764112,-2.155712843,1.231835961,1.770764112,-2.254699707,1.231835961,-1.880749464,2.232702732,1.165844679,-1.605786085,2.375683546,1.066857934,-1.484802246,2.430676222,1.066857934,1.605786085,-2.155712843,1.154846191,1.660778761,-2.012732029,1.022863746,1.693774462,-2.100720167,1.121850610,-1.715771437,2.045727491,1.099853516,-1.671777368,2.199707031,1.242834449,-1.506799340,2.419677734,161494,1350028,5847,5711,275,-16,-4,-21,-9,12269,-0.0021284503073101583,0.008513801229240633,-0.01117436411337833,6.836642840576172,-6.999448553466796,0.32920272827148434,0.20196335759413547,0.15839292895255325,0.20240840330148716,0.011686613706592415,0.006808827384955321,-0.9423220070476817,0.3344342954353574,0.18781693611268394,-0.08084039013994497,0.23496411210382373,0.8176025512172891,0.002988437807380014,0.021184194503026554,-0.5753854076927127,0.011671148569627185,0.2722904965248025,0.2610553233391679,-0.3672825086295682,0.7718543189107074,-0.46625823706627717,0.2279204369983228,0.34411598843474145,0.3031330105526665,0.24195352541116616,0.27299248035176366,0.769906361297276,-0.5403851140704125,-0.20175041263027826
1780562356.961075783,29543,1350034,stm_uplink_raw,coil_1_on,1,0,1780562356.953894138,0.25,1.0,5.0,2.5,1.341821313,1.715771437,-2.188708544,1.154846191,1.759765625,-2.133715868,1.154846191,1.649780273,-2.221704006,1.341821313,-1.891748071,2.155712843,1.044860840,-1.660778761,2.265698195,1.110852003,-1.407812476,2.562658787,1.077856421,1.583789110,-2.243701220,1.077856421,1.770764112,-2.078723192,1.176843286,1.770764112,-2.221704006,1.143847704,-1.682775855,2.100720167,1.099853516,-1.792761207,2.276696682,1.176843286,-1.484802246,2.496667385,161494,1350028,5847,5711,275,-16,-4,-21,-9,12269,-0.0021284503073101583,0.008513801229240633,-0.01117436411337833,6.836642840576172,-6.999448553466796,0.32920272827148434,0.20196335759413547,0.15839292895255325,0.20240840330148716,0.011686613706592415,0.006808827384955321,-0.9423220070476817,0.3344342954353574,0.18781693611268394,-0.08084039013994497,0.23496411210382373,0.8176025512172891,0.002988437807380014,0.021184194503026554,-0.5753854076927127,0.011671148569627185,0.2722904965248025,0.2610553233391679,-0.3672825086295682,0.7718543189107074,-0.46625823706627717,0.2279204369983228,0.34411598843474145,0.3031330105526665,0.24195352541116616,0.27299248035176366,0.769906361297276,-0.5403851140704125,-0.20175041263027826
1780562356.963558912,29544,1350036,stm_uplink_raw,coil_1_on,1,0,1780562356.953894138,0.25,1.0,5.0,2.5,1.286828637,1.671777368,-2.122717381,1.286828637,1.693774462,-2.067724705,1.154846191,1.671777368,-2.133715868,1.143847704,-1.836755395,2.199707031,1.077856421,-1.638781786,2.276696682,0.967871070,-1.451806664,2.496667385,1.088855028,1.550793409,-2.155712843,1.132849097,1.660778761,-2.100720167,1.099853516,1.660778761,-2.188708544,1.154846191,-1.594787598,2.122717381,1.044860840,-1.682775855,2.232702732,1.121850610,-1.484802246,2.419677734,161498,1350034,5850,5698,286,-18,-2,-17,-8,12270,-0.0010642251536550791,0.009578026382895712,-0.009045913806068173,6.8210805297851556,-7.003039855957031,0.34237083740234375,0.20196335759413547,0.15839292895255325,0.20240840330148716,0.011686613706592415,0.006808827384955321,-0.9423220070476817,0.3344342954353574,0.18781693611268394,-0.08084039013994497,0.23496411210382373,0.8176025512172891,0.002988437807380014,0.021184194503026554,-0.5753854076927127,0.011671148569627185,0.2722904965248025,0.2610553233391679,-0.3672825086295682,0.7718543189107074,-0.46625823706627717,0.2279204369983228,0.34411598843474145,0.3031330105526665,0.24195352541116616,0.27299248035176366,0.769906361297276,-0.5403851140704125,-0.20175041263027826
1780562356.964845896,29545,1350038,stm_uplink_raw,coil_1_on,1,0,1780562356.953894138,0.25,1.0,5.0,2.5,1.286828637,1.704772949,-2.089721680,1.264831543,1.748767138,-2.133715868,1.253833055,1.748767138,-2.122717381,1.253833055,-1.847753882,2.166711330,1.154846191,-1.627783179,2.353686571,1.022863746,-1.484802246,2.551660061,1.198840380,1.693774462,-2.177710056,1.077856421,1.682775855,-2.023730516,1.055859327,1.660778761,-2.166711330,1.099853516,-1.539794922,2.111718655,1.165844679,-1.583789110,2.243701220,1.264831543,-1.561792016,2.485668898,161498,1350034,5850,5698,286,-18,-2,-17,-8,12270,-0.0010642251536550791,0.009578026382895712,-0.009045913806068173,6.8210805297851556,-7.003039855957031,0.34237083740234375,0.20196335759413547,0.15839292895255325,0.20240840330148716,0.011686613706592415,0.006808827384955321,-0.9423220070476817,0.3344342954353574,0.18781693611268394,-0.08084039013994497,0.23496411210382373,0.8176025512172891,0.002988437807380014,0.021184194503026554,-0.5753854076927127,0.011671148569627185,0.2722904965248025,0.2610553233391679,-0.3672825086295682,0.7718543189107074,-0.46625823706627717,0.2279204369983228,0.34411598843474145,0.3031330105526665,0.24195352541116616,0.27299248035176366,0.769906361297276,-0.5403851140704125,-0.20175041263027826
1780562356.967258692,29546,1350040,stm_uplink_raw,coil_1_on,1,0,1780562356.953894138,0.25,1.0,5.0,2.5,1.330822706,1.726770043,-2.188708544,1.264831543,1.715771437,-2.144714355,1.110852003,1.627783179,-2.100720167,1.308825731,-1.814758301,2.287695408,1.033862352,-1.605786085,2.287695408,1.099853516,-1.517797828,2.540661573,1.011865258,1.506799340,-2.122717381,1.099853516,1.627783179,-2.100720167,1.044860840,1.627783179,-2.232702732,1.176843286,-1.715771437,2.023730516,1.176843286,-1.715771437,2.287695408,1.165844679,-1.539794922,2.342688084,161501,1350038,5857,5703,278,-15,2,-21,-12,12271,0.0010642251536550791,0.007981688652413093,-0.01117436411337833,6.827066033935546,-7.011419561767577,0.3327940307617187,0.20196335759413547,0.15839292895255325,0.20240840330148716,0.011686613706592415,0.006808827384955321,-0.9423220070476817,0.3344342954353574,0.18781693611268394,-0.08084039013994497,0.23496411210382373,0.8176025512172891,0.002988437807380014,0.021184194503026554,-0.5753854076927127,0.011671148569627185,0.2722904965248025,0.2610553233391679,-0.3672825086295682,0.7718543189107074,-0.46625823706627717,0.2279204369983228,0.34411598843474145,0.3031330105526665,0.24195352541116616,0.27299248035176366,0.769906361297276,-0.5403851140704125,-0.20175041263027826
1780562356.969666004,29547,1350042,stm_uplink_raw,coil_1_on,1,0,1780562356.953894138,0.25,1.0,5.0,2.5,1.319824219,1.726770043,-2.089721680,1.231835961,1.737768531,-2.111718655,1.121850610,1.693774462,-2.177710056,1.242834449,-1.902746558,2.221704006,1.044860840,-1.594787598,2.375683546,1.033862352,-1.473803759,2.595654249,0.978869617,1.550793409,-2.177710056,1.066857934,1.693774462,-2.133715868,1.110852003,1.781762719,-2.155712843,1.121850610,-1.660778761,2.100720167,1.066857934,-1.583789110,2.232702732,1.264831543,-1.572790504,2.452673435,161501,1350038,5857,5703,278,-15,2,-21,-12,12271,0.0010642251536550791,0.007981688652413093,-0.01117436411337833,6.827066033935546,-7.011419561767577,0.3327940307617187,0.20196335759413547,0.15839292895255325,0.20240840330148716,0.011686613706592415,0.006808827384955321,-0.9423220070476817,0.3344342954353574,0.18781693611268394,-0.08084039013994497,0.23496411210382373,0.8176025512172891,0.002988437807380014,0.021184194503026554,-0.5753854076927127,0.011671148569627185,0.2722904965248025,0.2610553233391679,-0.3672825086295682,0.7718543189107074,-0.46625823706627717,0.2279204369983228,0.34411598843474145,0.3031330105526665,0.24195352541116616,0.27299248035176366,0.769906361297276,-0.5403851140704125,-0.20175041263027826
1780562356.972052336,29548,1350044,stm_uplink_raw,coil_1_on,1,0,1780562356.953894138,0.25,1.0,5.0,2.5,1.385815382,1.671777368,-1.957739234,1.308825731,1.715771437,-2.144714355,1.121850610,1.594787598,-2.133715868,1.264831543,-1.880749464,2.221704006,1.099853516,-1.638781786,2.320690870,1.110852003,-1.484802246,2.518664598,1.154846191,1.627783179,-2.144714355,1.209838867,1.682775855,-2.045727491,1.121850610,1.781762719,-2.144714355,1.066857934,-1.660778761,2.144714355,1.121850610,-1.671777368,2.210705519,1.198840380,-1.473803759,2.463671923,161504,1350042,5854,5700,282,-15,1,-21,-1,12272,0.0005321125768275396,0.007981688652413093,-0.01117436411337833,6.823474731445312,-7.0078282592773435,0.33758243408203126,0.20196335759413547,0.15839292895255325,0.20240840330148716,0.011686613706592415,0.006808827384955321,-0.9423220070476817,0.3344342954353574,0.18781693611268394,-0.08084039013994497,0.23496411210382373,0.8176025512172891,0.002988437807380014,0.021184194503026554,-0.5753854076927127,0.011671148569627185,0.2722904965248025,0.2610553233391679,-0.3672825086295682,0.7718543189107074,-0.46625823706627717,0.2279204369983228,0.34411598843474145,0.3031330105526665,0.24195352541116616,0.27299248035176366,0.769906361297276,-0.5403851140704125,-0.20175041263027826
1780562356.973362446,29549,1350046,stm_uplink_raw,coil_1_on,1,0,1780562356.953894138,0.25,1.0,5.0,2.5,1.242834449,1.649780273,-2.078723192,1.297827125,1.737768531,-2.089721680,1.198840380,1.770764112,-2.276696682,1.297827125,-1.858752489,2.144714355,1.066857934,-1.605786085,2.309692383,1.132849097,-1.517797828,2.441674709,1.110852003,1.594787598,-2.155712843,1.220837355,1.704772949,-2.089721680,1.154846191,1.682775855,-2.232702732,1.231835961,-1.693774462,2.111718655,1.121850610,-1.583789110,2.166711330,1.187841773,-1.539794922,2.430676222,161504,1350042,5854,5700,282,-15,1,-21,-1,12272,0.0005321125768275396,0.007981688652413093,-0.01117436411337833,6.823474731445312,-7.0078282592773435,0.33758243408203126,0.20196335759413547,0.15839292895255325,0.20240840330148716,0.011686613706592415,0.006808827384955321,-0.9423220070476817,0.3344342954353574,0.18781693611268394,-0.08084039013994497,0.23496411210382373,0.8176025512172891,0.002988437807380014,0.021184194503026554,-0.5753854076927127,0.011671148569627185,0.2722904965248025,0.2610553233391679,-0.3672825086295682,0.7718543189107074,-0.46625823706627717,0.2279204369983228,0.34411598843474145,0.3031330105526665,0.24195352541116616,0.27299248035176366,0.769906361297276,-0.5403851140704125,-0.20175041263027826
