sensor_1_x,sensor_1_y,sensor_1_z,sensor_1_magnitude,sensor_2_x,sensor_2_y,sensor_2_z,sensor_2_magnitude,sensor_3_x,sensor_3_y,sensor_3_z,sensor_3_magnitude,sensor_4_x,sensor_4_y,sensor_4_z,sensor_4_magnitude,sensor_5_x,sensor_5_y,sensor_5_z,sensor_5_magnitude,sensor_6_x,sensor_6_y,sensor_6_z,sensor_6_magnitude,sensor_7_x,sensor_7_y,sensor_7_z,sensor_7_magnitude,sensor_8_x,sensor_8_y,sensor_8_z,sensor_8_magnitude,sensor_9_x,sensor_9_y,sensor_9_z,sensor_9_magnitude,sensor_10_x,sensor_10_y,sensor_10_z,sensor_10_magnitude,sensor_11_x,sensor_11_y,sensor_11_z,sensor_11_magnitude,sensor_12_x,sensor_12_y,sensor_12_z,sensor_12_magnitude
2.538555,-0.234725,0.955180,2.722448,2.455055,-0.244080,0.904801,2.627838,2.449595,-0.246960,0.942111,2.636111,2.327072,0.250529,-0.970959,2.533928,2.472285,0.306275,-1.061600,2.707950,2.379661,0.291150,-1.057043,2.620094,-2.367351,0.273137,0.972367,2.573801,-2.401593,0.240058,1.062432,2.637051,-2.390852,0.147911,1.033807,2.608985,-2.322717,-0.217458,-0.957004,2.521539,-2.352159,-0.287653,-0.949042,2.552661,-2.377932,-0.248418,-0.999421,2.591354
2.509454,-0.234937,1.024832,2.720815,2.427567,-0.245483,0.973148,2.626854,2.421228,-0.247548,1.007634,2.634189,2.296291,0.250105,-1.035620,2.531405,2.441107,0.306963,-1.130560,2.707655,2.347798,0.291999,-1.120467,2.617797,-2.336864,0.274839,1.038442,2.571931,-2.368917,0.241428,1.129024,2.635290,-2.359795,0.149197,1.099891,2.607806,-2.293594,-0.219322,-1.019706,2.519618,-2.322156,-0.289206,-1.014167,2.550409,-2.347783,-0.249401,-1.064920,2.590046
2.477260,-0.236422,1.096459,2.719363,2.397708,-0.247255,1.043228,2.626493,2.389555,-0.248698,1.074750,2.631902,2.265206,0.250241,-1.101637,2.531281,2.406366,0.309485,-1.199833,2.706654,2.313713,0.293400,-1.186212,2.616572,-2.304167,0.277211,1.103641,2.569836,-2.333800,0.242186,1.193625,2.632493,-2.325144,0.150840,1.166220,2.605593,-2.262530,-0.220685,-1.083484,2.518269,-2.290170,-0.290866,-1.080385,2.548865,-2.313457,-0.250121,-1.130822,2.587162
2.442706,-0.238139,1.166135,2.717240,2.365734,-0.249703,1.109899,2.625057,2.355969,-0.250049,1.140699,2.629507,2.231038,0.251068,-1.167070,2.530340,2.370682,0.310658,-1.267584,2.706180,2.277253,0.295045,-1.252298,2.615566,-2.269362,0.279228,1.167881,2.567473,-2.297280,0.242844,1.259752,2.631244,-2.289826,0.151413,1.232975,2.605083,-2.229972,-0.223689,-1.147178,2.517703,-2.256353,-0.292783,-1.144546,2.546927,-2.277793,-0.251470,-1.196613,2.585239
2.405322,-0.240764,1.234745,2.714431,2.330770,-0.250882,1.179003,2.624019,2.319954,-0.250887,1.207025,2.627174,2.194495,0.252072,-1.229221,2.527910,2.331592,0.313040,-1.335072,2.704946,2.238366,0.296214,-1.316341,2.613576,-2.232757,0.281865,1.232968,2.566099,-2.258111,0.244230,1.323504,2.628760,-2.251018,0.152084,1.298560,2.603165,-2.193880,-0.225446,-1.210338,2.515722,-2.219993,-0.294405,-1.209255,2.545062,-2.240634,-0.253039,-1.261032,2.583538
2.366416,-0.241960,1.303958,2.712707,2.294361,-0.253042,1.246025,2.623109,2.282907,-0.252133,1.270884,2.624953,2.155828,0.252341,-1.292304,2.526128,2.290878,0.314075,-1.401034,2.703638,2.198239,0.298146,-1.378355,2.611706,-2.192760,0.283073,1.296301,2.562952,-2.216968,0.246085,1.387848,2.627095,-2.210207,0.152475,1.362528,2.600913,-2.155846,-0.227549,-1.272407,2.513657,-2.181651,-0.295730,-1.271416,2.542352,-2.200433,-0.253053,-1.323855,2.580414
2.325990,-0.243690,1.369628,2.710257,2.256250,-0.255055,1.311517,2.622174,2.243999,-0.252251,1.332953,2.622199,2.116707,0.253373,-1.353460,2.525173,2.248067,0.315379,-1.466160,2.702387,2.155996,0.298835,-1.438525,2.609018,-2.153276,0.285304,1.357897,2.561617,-2.173487,0.247431,1.448873,2.623833,-2.168884,0.154154,1.425610,2.600036,-2.117166,-0.230199,-1.332847,2.512342,-2.142494,-0.297006,-1.332127,2.540286,-2.159718,-0.253635,-1.385100,2.578219
2.283781,-0.245902,1.436696,2.709284,2.216541,-0.256101,1.375726,2.621310,2.203799,-0.252931,1.394617,2.620241,2.074755,0.253728,-1.413757,2.523429,2.204890,0.316007,-1.528278,2.701302,2.112254,0.300490,-1.499250,2.607616,-2.110605,0.287287,1.418277,2.559043,-2.128240,0.248678,1.509789,2.621203,-2.125506,0.157092,1.486487,2.598480,-2.075448,-0.231801,-1.390305,2.508818,-2.100693,-0.298846,-1.392721,2.538088,-2.116219,-0.255425,-1.445919,2.575715
2.236539,-0.247964,1.502071,2.705515,2.172036,-0.259014,1.439896,2.618803,2.159104,-0.254734,1.458026,2.617720,2.029619,0.254118,-1.472761,2.520507,2.156002,0.318946,-1.592821,2.699471,2.064226,0.302019,-1.558277,2.603934,-2.064233,0.289738,1.478645,2.555659,-2.079616,0.249676,1.569672,2.617443,-2.077612,0.159013,1.547585,2.595530,-2.031491,-0.234944,-1.448950,2.506314,-2.055078,-0.301404,-1.453244,2.534977,-2.068958,-0.256845,-1.507447,2.572733
2.187776,-0.250815,1.567456,2.702997,2.126242,-0.260496,1.505938,2.618513,2.111671,-0.254946,1.520286,2.614464,1.982310,0.255290,-1.533823,2.519393,2.105960,0.321004,-1.656724,2.698675,2.014339,0.303229,-1.618809,2.601933,-2.016523,0.291011,1.539027,2.553362,-2.029693,0.251295,1.631117,2.615979,-2.026740,0.160564,1.607979,2.592114,-1.984895,-0.237039,-1.509511,2.504919,-2.007276,-0.302454,-1.513738,2.532201,-2.019842,-0.258438,-1.568060,2.570090
