timestamp,sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
2026-04-28T20:37:58.159670,23.66523,-0.3123047,-0.6574219,23.14014,-0.2470703,-0.9712891,23.19238,-0.2398437,-0.5541992,22.99502,-0.1208984,-0.162207,23.37744,-0.08115234,-0.2970703,23.05371,-0.1649414,-0.7831055,-22.88682,0.3900391,0.1457031,-23.17676,0.1706055,0.8108398,-23.22598,-0.2356445,0.5200195,-23.25,0.7297852,-0.1922852,-23.10029,-0.03427734,-0.1043945,-23.06563,0.1489258,-0.5135742
2026-04-28T20:37:58.289934,23.77793,-0.3136719,-0.6613281,23.13623,-0.2313477,-0.9733398,23.1915,-0.2236328,-0.5537109,22.99014,-0.1170898,-0.1629883,23.37734,-0.07353516,-0.2962891,23.05313,-0.1685547,-0.7826172,-22.88574,0.3954102,0.1450195,-23.17568,0.1604492,0.8129883,-23.22441,-0.2363281,0.5189453,-23.25,0.7276367,-0.1924805,-23.0957,-0.04824219,-0.1017578,-23.06162,0.1417969,-0.5150391
2026-04-28T20:37:58.418428,23.77451,-0.3040039,-0.6669922,23.13467,-0.2387695,-0.9751953,23.18818,-0.2262695,-0.556543,22.9873,-0.1151367,-0.1606445,23.37266,-0.06757813,-0.293457,23.04834,-0.1722656,-0.778125,-22.88115,0.3998047,0.1407227,-23.17432,0.1461914,0.8118164,-23.22334,-0.2402344,0.5180664,-23.24873,0.7112305,-0.1885742,-23.09482,-0.04111328,-0.100293,-23.05977,0.1467773,-0.5125977
2026-04-28T20:37:58.547059,23.77266,-0.2917969,-0.665625,23.13506,-0.2384766,-0.9742188,23.18633,-0.215918,-0.5574219,22.98623,-0.1206055,-0.1615234,23.37256,-0.07060547,-0.2955078,23.04199,-0.1851562,-0.7777344,-22.8791,0.4041016,0.1423828,-23.17129,0.1461914,0.8106445,-23.21953,-0.2438477,0.5155273,-23.24873,0.7201172,-0.1905273,-23.09102,-0.03476563,-0.09746094,-23.05771,0.1383789,-0.5121094
2026-04-28T20:37:58.675661,23.77363,-0.2949219,-0.6625977,23.13467,-0.2351563,-0.9732422,23.18877,-0.2261719,-0.5551758,22.98438,-0.134082,-0.1607422,23.37383,-0.07519531,-0.2976563,23.04141,-0.1724609,-0.7798828,-22.87969,0.4137695,0.1446289,-23.1709,0.1461914,0.8138672,-23.22021,-0.2579102,0.521582,-23.24717,0.7152344,-0.190918,-23.09434,-0.03232422,-0.1025391,-23.05479,0.1504883,-0.5148438
2026-04-28T20:37:58.805877,23.77598,-0.2904297,-0.6613281,23.13545,-0.2363281,-0.9700195,23.18818,-0.2197266,-0.5519531,22.98525,-0.130957,-0.1634766,23.37168,-0.06933594,-0.2996094,23.04082,-0.1689453,-0.7823242,-22.88047,0.4075195,0.1449219,-23.18086,0.1496094,0.8143555,-23.2208,-0.2467773,0.5234375,-23.24502,0.7202148,-0.1922852,-23.09219,-0.0265625,-0.103125,-23.05469,0.1455078,-0.5162109
2026-04-28T20:37:58.935122,23.77324,-0.2932617,-0.6615234,23.13389,-0.2391602,-0.9743164,23.18398,-0.2142578,-0.5556641,22.98076,-0.1328125,-0.1618164,23.36885,-0.06484375,-0.2983398,23.03887,-0.1712891,-0.7837891,-22.87891,0.4145508,0.1448242,-23.17695,0.1448242,0.8146484,-23.21963,-0.2605469,0.5208008,-23.24355,0.7210937,-0.1916992,-23.08887,-0.01503906,-0.103125,-23.05635,0.1492188,-0.5139648
2026-04-28T20:37:59.063328,23.77236,-0.2945313,-0.6624023,23.13145,-0.2396484,-0.9741211,23.18379,-0.2211914,-0.5568359,22.98105,-0.1185547,-0.1645508,23.36992,-0.07246094,-0.2957031,23.04102,-0.1705078,-0.784375,-22.87744,0.4051758,0.1463867,-23.17734,0.1612305,0.8109375,-23.21768,-0.2541016,0.519043,-23.24326,0.7209961,-0.1918945,-23.08896,-0.0140625,-0.1032227,-23.05459,0.1524414,-0.5146484
2026-04-28T20:37:59.192254,23.7709,-0.290625,-0.662793,23.12979,-0.2499023,-0.9703125,23.18496,-0.2219727,-0.5560547,22.98018,-0.1179687,-0.1641602,23.36963,-0.07148438,-0.2961914,23.03877,-0.1648438,-0.7814453,-22.87529,0.4037109,0.1452148,-23.16582,0.1617187,0.8111328,-23.21475,-0.2530273,0.5212891,-23.24336,0.718457,-0.1916992,-23.0876,-0.02246094,-0.1016602,-23.05322,0.1609375,-0.5167969
2026-04-28T20:37:59.321373,23.76934,-0.2849609,-0.6632813,23.13203,-0.2575195,-0.9707031,23.18613,-0.2259766,-0.5526367,22.97773,-0.1213867,-0.1619141,23.37041,-0.0625,-0.2961914,23.03799,-0.1823242,-0.7826172,-22.87539,0.3942383,0.1457031,-23.17031,0.1429688,0.8134766,-23.21523,-0.2499023,0.5219727,-23.24189,0.7043945,-0.1902344,-23.08828,-0.02949219,-0.09990234,-23.05293,0.1739258,-0.518457
