timestamp,sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
2026-04-28T20:37:20.172310,-0.0078125,-0.4801758,-0.1835938,0.01416016,-0.465918,-0.1732422,-0.01259766,-0.4474609,-0.1857422,0.003515625,0.31875,0.1168945,-0.01425781,0.4124023,0.1354492,0.03798828,0.4902344,0.1335938,-0.06865234,0.4082031,-0.1467773,-0.08154297,0.4444336,-0.1573242,-0.03642578,0.5275391,-0.1569336,-0.1423828,-0.5439453,0.1319336,-0.07773437,-0.5129883,0.1336914,-0.0921875,-0.4615234,0.09609375
2026-04-28T20:37:20.301437,-0.006933594,-0.4786133,-0.1817383,0.01611328,-0.465625,-0.1723633,-0.01132812,-0.4474609,-0.1858398,0.004882812,0.3176758,0.1148437,-0.01328125,0.4118164,0.1321289,0.04003906,0.4918945,0.13125,-0.06972656,0.4079102,-0.1455078,-0.08271484,0.4425781,-0.1543945,-0.03691406,0.5257812,-0.1546875,-0.1441406,-0.544043,0.1306641,-0.07939453,-0.5118164,0.1339844,-0.09238281,-0.4602539,0.09755859
2026-04-28T20:37:20.430668,-0.007324219,-0.4804688,-0.184082,0.01582031,-0.4652344,-0.1714844,-0.009960937,-0.446875,-0.1858398,0.005078125,0.3171875,0.1166016,-0.01357422,0.4108398,0.1368164,0.04042969,0.490625,0.1335938,-0.06933594,0.4074219,-0.1507813,-0.08212891,0.44375,-0.1583008,-0.03789062,0.5266602,-0.1552734,-0.1438477,-0.5449219,0.1331055,-0.07910156,-0.5120117,0.1355469,-0.09296875,-0.4592773,0.09902344
2026-04-28T20:37:20.560897,-0.006152344,-0.4804688,-0.184375,0.01640625,-0.4660156,-0.1755859,-0.01064453,-0.4481445,-0.1875977,0.005175781,0.3167969,0.1170898,-0.01132812,0.4121094,0.1389648,0.04111328,0.4894531,0.1324219,-0.07050781,0.4064453,-0.1508789,-0.08505859,0.4423828,-0.1584961,-0.03867188,0.5271484,-0.1581055,-0.1447266,-0.5448242,0.134082,-0.08027344,-0.5128906,0.1348633,-0.09355469,-0.4606445,0.09970703
2026-04-28T20:37:20.689145,-0.00703125,-0.4788086,-0.1844727,0.01660156,-0.465625,-0.1738281,-0.009570313,-0.4476562,-0.1871094,0.004785156,0.315625,0.1160156,-0.01181641,0.4121094,0.1352539,0.03896484,0.4892578,0.1329102,-0.06943359,0.4064453,-0.1479492,-0.08300781,0.4420898,-0.155957,-0.03789062,0.5256836,-0.1587891,-0.1442383,-0.5445313,0.1325195,-0.07900391,-0.5117188,0.134668,-0.09306641,-0.4585938,0.09931641
2026-04-28T20:37:20.817487,-0.006738281,-0.4817383,-0.1848633,0.01630859,-0.4646484,-0.1754883,-0.0125,-0.4485352,-0.1874023,0.003515625,0.3161133,0.1182617,-0.01367188,0.4114258,0.1390625,0.04003906,0.4891602,0.1325195,-0.06933594,0.4070313,-0.146582,-0.08349609,0.4424805,-0.1581055,-0.03574219,0.5266602,-0.1566406,-0.1444336,-0.5422852,0.134375,-0.07890625,-0.512207,0.1348633,-0.09189453,-0.4598633,0.1003906
2026-04-28T20:37:20.948176,-0.005175781,-0.4828125,-0.1884766,0.01591797,-0.4651367,-0.1757812,-0.01083984,-0.446875,-0.1891602,0.00625,0.3157227,0.1188477,-0.01308594,0.4101562,0.1390625,0.04121094,0.4897461,0.1325195,-0.07099609,0.4079102,-0.1475586,-0.08457031,0.4422852,-0.1575195,-0.03730469,0.5256836,-0.1568359,-0.1458984,-0.5423828,0.1326172,-0.08046875,-0.5118164,0.1335938,-0.09345703,-0.4578125,0.09785156
2026-04-28T20:37:21.075675,-0.003417969,-0.4835937,-0.1901367,0.01738281,-0.4648438,-0.1783203,-0.008691406,-0.4472656,-0.190918,0.006738281,0.3161133,0.1193359,-0.01181641,0.4114258,0.1423828,0.04296875,0.4900391,0.1359375,-0.07138672,0.4088867,-0.1499023,-0.08642578,0.4415039,-0.1607422,-0.03945312,0.5268555,-0.1577148,-0.146582,-0.5422852,0.1356445,-0.07910156,-0.5114258,0.1371094,-0.09365234,-0.4582031,0.1006836
2026-04-28T20:37:21.205742,-0.003710937,-0.4826172,-0.1873047,0.01796875,-0.4647461,-0.1753906,-0.008984375,-0.4464844,-0.1885742,0.005859375,0.315625,0.1157227,-0.01103516,0.4098633,0.1379883,0.04228516,0.4888672,0.1338867,-0.07060547,0.4091797,-0.1494141,-0.08701172,0.4413086,-0.1570313,-0.03964844,0.5255859,-0.1575195,-0.1462891,-0.5421875,0.1336914,-0.07939453,-0.5107422,0.1350586,-0.09365234,-0.4555664,0.09853516
2026-04-28T20:37:21.334053,-0.006152344,-0.4826172,-0.1867187,0.01601562,-0.4634766,-0.1746094,-0.01044922,-0.4464844,-0.1873047,0.004980469,0.3151367,0.1154297,-0.01357422,0.4103516,0.1411133,0.04033203,0.4879883,0.1333008,-0.07021484,0.4069336,-0.1486328,-0.08417969,0.4414062,-0.159082,-0.03691406,0.5265625,-0.1571289,-0.1447266,-0.5421875,0.1339844,-0.07978516,-0.5125,0.1359375,-0.0921875,-0.4591797,0.09833984
