timestamp,sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
2026-04-20T18:06:50.965740,1.130957,0.5988281,26.15811,1.471875,0.5032227,25.71748,1.065234,0.8289062,25.3708,0.2852539,-0.9863281,-25.45869,0.2525391,-0.3796875,-25.99902,-0.2094727,-0.4125,-25.53994,-0.3415039,-0.3310547,25.27061,0.2236328,-0.75625,25.69463,0.05458984,-1.163672,25.84932,-0.5855469,0.3953125,-25.71846,-0.5385742,0.2433594,-25.56348,-0.2077148,0.7126953,-25.55068
2026-04-20T18:06:51.094125,1.12998,0.5953125,26.15439,1.471387,0.4991211,25.72051,1.062305,0.8275391,25.36855,0.2850586,-0.9850586,-25.45928,0.2530273,-0.3785156,-25.99844,-0.209375,-0.4105469,-25.53896,-0.3416992,-0.3293945,25.27275,0.2248047,-0.7537109,25.68779,0.05419922,-1.161816,25.85234,-0.5844727,0.3950195,-25.71943,-0.5365234,0.2405273,-25.55937,-0.2061523,0.7129883,-25.54912
2026-04-20T18:06:51.223147,1.12998,0.5994141,26.15518,1.47041,0.5023437,25.71768,1.062598,0.8293945,25.36543,0.2838867,-0.9854492,-25.45791,0.2513672,-0.3797852,-25.9958,-0.2098633,-0.4106445,-25.53564,-0.340918,-0.3314453,25.27383,0.2268555,-0.7538086,25.68398,0.05683594,-1.162402,25.84971,-0.5825195,0.3947266,-25.71807,-0.5350586,0.2438477,-25.5582,-0.2046875,0.7141602,-25.5457
2026-04-20T18:06:51.352221,1.131543,0.5979492,26.15635,1.470898,0.5023437,25.71836,1.061426,0.8303711,25.3668,0.2836914,-0.9862305,-25.454,0.2516602,-0.3821289,-25.99521,-0.2105469,-0.4113281,-25.53516,-0.3410156,-0.3329102,25.26846,0.2259766,-0.7569336,25.68516,0.05498047,-1.163965,25.8458,-0.5852539,0.3974609,-25.71738,-0.5365234,0.2449219,-25.55752,-0.2070312,0.7147461,-25.54668
2026-04-20T18:06:51.481189,1.132715,0.599707,26.15537,1.472754,0.5024414,25.71963,1.065527,0.8302734,25.36592,0.287793,-0.9856445,-25.45332,0.2545898,-0.3798828,-25.99043,-0.2076172,-0.4125,-25.53418,-0.3427734,-0.3331055,25.26719,0.2239258,-0.7569336,25.68252,0.05400391,-1.164355,25.84922,-0.5868164,0.396582,-25.71699,-0.5383789,0.2439453,-25.55439,-0.2074219,0.7145508,-25.54883
2026-04-20T18:06:51.610265,1.13584,0.599707,26.15059,1.475879,0.4998047,25.71719,1.068945,0.8293945,25.36172,0.2902344,-0.984668,-25.45527,0.2572266,-0.3796875,-25.98994,-0.2045898,-0.4112305,-25.53389,-0.346582,-0.331543,25.27158,0.2207031,-0.755957,25.6793,0.05048828,-1.163086,25.84229,-0.5891602,0.3944336,-25.71367,-0.5426758,0.2418945,-25.55654,-0.2104492,0.7142578,-25.546
2026-04-20T18:06:51.739482,1.136426,0.5961914,26.15312,1.474121,0.4989258,25.71895,1.066504,0.8267578,25.35879,0.2892578,-0.9825195,-25.454,0.255957,-0.3791992,-25.99238,-0.2067383,-0.4108398,-25.53555,-0.3452148,-0.3291016,25.26826,0.2209961,-0.7536133,25.68467,0.05117187,-1.162598,25.846,-0.587793,0.3933594,-25.71592,-0.5404297,0.2399414,-25.56045,-0.2099609,0.7115234,-25.5457
2026-04-20T18:06:51.868770,1.131445,0.5966797,26.15225,1.472266,0.499707,25.7167,1.064551,0.8268555,25.35957,0.2852539,-0.9829102,-25.45322,0.2519531,-0.3767578,-25.98916,-0.2078125,-0.409082,-25.52871,-0.3401367,-0.3316406,25.27012,0.2231445,-0.752832,25.67959,0.05410156,-1.162988,25.84277,-0.584375,0.3941406,-25.71729,-0.5355469,0.2411133,-25.55977,-0.2060547,0.7126953,-25.54395
2026-04-20T18:06:51.998383,1.132617,0.5972656,26.15166,1.471387,0.4999023,25.71777,1.065723,0.8267578,25.35918,0.2862305,-0.9842773,-25.45244,0.2537109,-0.378125,-25.98916,-0.2083008,-0.409668,-25.52949,-0.3433594,-0.33125,25.26943,0.2243164,-0.7533203,25.67861,0.053125,-1.162891,25.84092,-0.5858398,0.3936523,-25.71641,-0.537793,0.2405273,-25.55625,-0.2070312,0.7128906,-25.5417
2026-04-20T18:06:52.126920,1.135742,0.5959961,26.14893,1.476465,0.4990234,25.71787,1.06875,0.824707,25.35938,0.2891602,-0.984668,-25.45322,0.2570312,-0.3763672,-25.99414,-0.2041992,-0.4108398,-25.53066,-0.3457031,-0.3291016,25.26953,0.2206055,-0.7530273,25.67852,0.05107422,-1.161035,25.84424,-0.5883789,0.3917969,-25.7168,-0.5416992,0.2385742,-25.56113,-0.2109375,0.7109375,-25.54082
