combo,cycle,status,cvt_ep,cvt_eR,cci_ep,cci_eR
1-2-3,cycle_0000.json,rank_C_lt_5,,,,
1-2-3,cycle_0001.json,rank_C_lt_5,,,,
1-2-3,cycle_0002.json,rank_C_lt_5,,,,
1-2-3,cycle_0003.json,rank_C_lt_5,,,,
1-2-3,cycle_0004.json,rank_C_lt_5,,,,
1-2-3,cycle_0005.json,rank_C_lt_5,,,,
1-2-3,cycle_0006.json,rank_C_lt_5,,,,
1-2-3,cycle_0007.json,rank_C_lt_5,,,,
1-2-3,cycle_0008.json,rank_C_lt_5,,,,
1-2-3,cycle_0009.json,rank_C_lt_5,,,,
1-2-4,cycle_0000.json,ok,0.051365176008278723,0.25361182904160495,0.051085840250491982,0.27768416513602462
1-2-4,cycle_0001.json,ok,0.069918045072002388,0.40303767219205061,0.066223266195721303,0.41273053287847716
1-2-4,cycle_0002.json,ok,0.069140288324705299,0.35009894327350954,0.065729246098602478,0.32758190004581583
1-2-4,cycle_0003.json,ok,0.0079699337114532681,0.19668410336243317,0.0092324967224393251,0.16706774439067021
1-2-4,cycle_0004.json,ok,0.011939070418541997,0.25767688171893272,0.010503092947425742,0.23092587771967568
1-2-4,cycle_0005.json,ok,0.035440675708905668,0.18295562637074897,0.033077259794463305,0.16714814863703745
1-2-4,cycle_0006.json,ok,0.037218840518315595,0.26412138590785089,0.034008358656273441,0.25049879704237443
1-2-4,cycle_0007.json,ok,0.045739586534432129,0.26624989366071178,0.043219844446485932,0.23813129936061966
1-2-4,cycle_0008.json,ok,0.044906904189410908,0.25823016343072053,0.044227950428060492,0.25610719098306117
1-2-4,cycle_0009.json,ok,0.048958517637642543,0.31227827646767731,0.0460612688703975,0.29676921305700554
1-2-5,cycle_0000.json,ok,0.039608110611761692,0.17514575210794334,0.041710714288552699,0.21585508331177194
1-2-5,cycle_0001.json,ok,0.048757187956880874,0.25812639341340154,0.046078016172842691,0.29614385859945253
1-2-5,cycle_0002.json,ok,0.048286185738691909,0.22897869324142911,0.044119893870640192,0.20231837191558241
1-2-5,cycle_0003.json,ok,0.0069400447651070596,0.2951027071240831,0.0071183149688310602,0.28327276178822675
1-2-5,cycle_0004.json,ok,0.020590304222424662,0.17757594883282035,0.018037125432790554,0.15702317986294664
1-2-5,cycle_0005.json,ok,0.024109130746672595,0.19256071155147514,0.020606218099562326,0.19033465639757441
1-2-5,cycle_0006.json,ok,0.022783751071869043,0.22556753698107609,0.02028238529248132,0.20698850442814473
1-2-5,cycle_0007.json,ok,0.033908333448078011,0.21203577984516803,0.029424753044382045,0.19494059502973418
1-2-5,cycle_0008.json,ok,0.032097118807600314,0.21384133610863898,0.028827836144650038,0.18967350413314413
1-2-5,cycle_0009.json,ok,0.031946996619858413,0.2567540188255189,0.030016374802164666,0.23207600921468052
1-2-6,cycle_0000.json,ok,0.04308883479811202,0.18809230873949936,0.044312992693996696,0.24405035294492111
1-2-6,cycle_0001.json,ok,0.045081454554409595,0.28098549750110269,0.045308223804539367,0.31206056723440989
1-2-6,cycle_0002.json,ok,0.051465580876597361,0.26158921355895798,0.048372317778286988,0.28492030541416719
1-2-6,cycle_0003.json,ok,0.0034018428149275273,0.33611338701244808,0.0050268460841351257,0.318627627201722
1-2-6,cycle_0004.json,ok,0.014814456484693464,0.20429395904497163,0.012978889710563848,0.17341315591083148
1-2-6,cycle_0005.json,ok,0.021677940105223149,0.19509319759101459,0.018307320068090365,0.17390669989230678
1-2-6,cycle_0006.json,ok,0.016656933084490712,0.26030010244753371,0.015901576401778968,0.22421718198271523
1-2-6,cycle_0007.json,ok,0.028792582138667054,0.23612858363006758,0.026610265587869251,0.19214675990868582
1-2-6,cycle_0008.json,ok,0.033588422412948245,0.24031613374936744,0.030465292239271226,0.18673360899906263
1-2-6,cycle_0009.json,ok,0.030438467330514241,0.21489073834073244,0.031098409692861474,0.22925838204936744
1-2-7,cycle_0000.json,ok,0.026166062447422079,0.14062001766224241,0.023456797050307069,0.15694699541038964
1-2-7,cycle_0001.json,ok,0.040959448052229522,0.15099287593072724,0.04528116281133189,0.28068075838903467
1-2-7,cycle_0002.json,ok,0.027262447669510147,0.16987602705883512,0.034770376564882077,0.18923600238000129
1-2-7,cycle_0003.json,ok,0.022020206894786384,0.32728575587261832,0.023590102540162979,0.37105393398671677
1-2-7,cycle_0004.json,ok,0.021378124278986194,0.28712806408461217,0.021335311896758427,0.30703670931939692
1-2-7,cycle_0005.json,ok,0.018063072693986212,0.34705131368581849,0.021882009090996184,0.38369085635501843
1-2-7,cycle_0006.json,ok,0.023012386067893537,0.1855791641261843,0.023699765997814093,0.24849650170905896
1-2-7,cycle_0007.json,ok,0.016397832667023545,0.39927803281596813,0.025454794614231811,0.43690485440400412
1-2-7,cycle_0008.json,ok,0.017638058066400397,0.3475591344891279,0.021858925508868598,0.30297565824339995
1-2-7,cycle_0009.json,ok,0.015168121320012036,0.18517360355359924,0.018410921412732734,0.23943015070266477
1-2-8,cycle_0000.json,ok,0.016762996151927667,0.17300055421831989,0.018886494477186939,0.098790220271165852
1-2-8,cycle_0001.json,ok,0.032846996220975311,0.083682786664323092,0.036188643692376878,0.2267485963167627
1-2-8,cycle_0002.json,ok,0.02353294979996147,0.071670786070251069,0.032332397774777991,0.15836451616016753
1-2-8,cycle_0003.json,ok,0.027820225809684643,0.34864667062041221,0.028670151452178404,0.35663612527176392
1-2-8,cycle_0004.json,ok,0.026809566726728851,0.27479305203409304,0.02645422018686654,0.2804470787101554
1-2-8,cycle_0005.json,ok,0.022924739305760156,0.34964619177539041,0.025688356653740658,0.35082401868598917
1-2-8,cycle_0006.json,ok,0.029030666928357159,0.25479776252699904,0.032931550514195183,0.26846509928444617
1-2-8,cycle_0007.json,ok,0.017226539928951276,0.35093797493383633,0.025617476146793727,0.35197519284615919
1-2-8,cycle_0008.json,ok,0.011655337002253824,0.22564243879151161,0.019524540755694337,0.18889474751318971
1-2-8,cycle_0009.json,ok,0.010412547253038768,0.17331186472548488,0.015999215356638816,0.13144402355504667
1-2-9,cycle_0000.json,ok,0.026015971980484283,0.09453033625910362,0.027956294079021962,0.077704835493427146
1-2-9,cycle_0001.json,ok,0.047133725392811944,0.18388807264360391,0.059718157181409492,0.42725563163458913
1-2-9,cycle_0002.json,ok,0.034852455410204861,0.053496000587092057,0.049368619049897394,0.3372451747657419
1-2-9,cycle_0003.json,ok,0.029171950675229302,0.35867175967385795,0.028670850969348554,0.34386555746195063
1-2-9,cycle_0004.json,ok,0.027879316171558904,0.23401804538714266,0.02595908630761434,0.2166466226082176
1-2-9,cycle_0005.json,ok,0.022680121883768892,0.25716604320156766,0.02193609621046581,0.25860720263880937
1-2-9,cycle_0006.json,ok,0.031851414161259077,0.19824109799094777,0.03203528166040575,0.17277280427625585
1-2-9,cycle_0007.json,ok,0.016398082992875301,0.25887374378847988,0.017548344518274365,0.21015598203348129
1-2-9,cycle_0008.json,ok,0.01683748989700851,0.2008595434529675,0.020279473652676516,0.16760445589060366
1-2-9,cycle_0009.json,ok,0.019625550913289394,0.078013015990211751,0.025684874130872122,0.13222984441962488
