configuration,mode,cycle_count,ep_avg,ep_std,eR_avg,eR_std
2-3-12,CVT,60,0.0399891039721,0.020028899148,0.307948822566,0.196413764289
2-3-12,CCI,60,0.0389273239646,0.0221249633224,0.335652887732,0.245101398065
1-3-4-6-7-9-10-12,CVT,60,0.0320570375042,0.0179047198475,0.257037497776,0.240779329279
1-3-4-6-7-9-10-12,CCI,60,0.0295024730816,0.019601483668,0.260988009131,0.273326859827
all-12,CVT,60,0.032698231491,0.0171242279493,0.253413703524,0.218823171893
all-12,CCI,60,0.030504893462,0.0180990176512,0.259338674781,0.251048272589
