channel,b_ref_x,b_ref_y,b_ref_z,sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
1,0.194062,13.270273,-0.34768,-0.02051,13.861996,-0.015642,-0.004197,13.46525,-0.023602,0.003796,13.145135,0.016942,0.167809,12.878263,0.002895,0.26332,13.705478,-0.006794,0.157568,13.216949,-0.008855,0.318265,13.086181,-0.675687,0.372092,13.404004,-0.719485,0.510375,13.427929,-0.760797,0.357697,12.841418,-0.623703,0.083542,13.075109,-0.688492,0.125598,13.113203,-0.668158
2,-14.045894,-0.115834,0.484175,-14.756984,0.113569,0.471586,-14.138628,0.093677,0.388271,-14.068435,0.082087,0.436464,-13.678244,-0.088069,0.600883,-14.494103,-0.187069,0.476527,-14.059623,-0.078854,0.466991,-13.742832,-0.251989,0.297357,-14.23344,-0.300862,0.598274,-14.083066,-0.446416,0.566889,-13.654482,-0.290104,0.559998,-13.844059,0.00039,0.483808,-13.944844,-0.042714,0.555401
3,-0.006901,0.380408,14.927272,0.031427,0.774938,15.397409,0.097812,0.745873,15.009533,0.044992,0.779997,14.929521,-0.139208,0.754842,14.683116,0.02507,0.790304,15.360567,0.016334,0.759802,14.971584,0.178754,0.009643,14.806121,-0.122125,-0.026068,15.003234,-0.090905,-0.06544,15.03319,-0.101348,0.055933,14.646856,-0.022654,-0.018539,14.704361,-0.093466,0.007836,14.761165
