sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z,b_ref_x,b_ref_y,b_ref_z,Delta_o,channel,voltage,source_file
-2.02207,-0.864746,14.915625,-1.75957,-0.90625,14.701953,-1.999023,-0.709863,14.49502,-2.424121,0.513574,-14.42998,-2.514648,0.915723,-14.78457,-2.688379,0.941602,-14.399512,2.342676,0.937402,14.330762,2.689941,0.748535,14.426855,2.614746,0.627051,14.570996,2.183203,-1.033789,-14.454883,2.268262,-1.016797,-14.387988,2.456543,-0.748535,-14.417188,-2.330265166666667,14.526277666666667,0.83032225,0.03210658872934695,manual_x,3,manual_x_3V_cleaned.csv
-2.475781,-0.873047,14.856055,-2.207324,-0.914844,14.648926,-2.443066,-0.719043,14.437109,-2.859766,0.515137,-14.363672,-2.960254,0.91543,-14.70918,-3.124609,0.945508,-14.321484,2.776953,0.940332,14.261523,3.127637,0.756445,14.346973,3.054883,0.64668,14.49248,2.621191,-1.051172,-14.38584,2.704395,-1.01748,-14.322852,2.893652,-0.752734,-14.344922,-2.7707925833333333,14.45758466666667,0.837321,0.030732033601597947,manual_x,3,manual_x_3V_cleaned.csv
-2.929492,-0.880566,14.787012,-2.650586,-0.923828,14.585254,-2.88457,-0.729199,14.367383,-3.294531,0.516699,-14.284961,-3.406543,0.914062,-14.625781,-3.560059,0.948828,-14.233301,3.209375,0.945996,14.180078,3.563086,0.765918,14.252344,3.492676,0.668457,14.403418,3.058496,-1.065723,-14.302734,3.139551,-1.01748,-14.241602,3.329004,-0.755469,-14.261621,-3.20983075,14.377124083333335,0.8443520833333333,0.03102784314061162,manual_x,3,manual_x_3V_cleaned.csv
-3.376953,-0.890332,14.707227,-3.088281,-0.930273,14.507812,-3.324707,-0.7375,14.286719,-3.724414,0.51875,-14.195996,-3.848828,0.911816,-14.532617,-3.990625,0.953125,-14.131543,3.639258,0.95,14.086523,3.995996,0.773926,14.15127,3.924121,0.686328,14.303027,3.493164,-1.080469,-14.213281,3.569141,-1.017383,-14.149707,3.758984,-0.75957,-14.162988,-3.6445393333333334,14.285725833333334,0.8507893333333334,0.03175250537604706,manual_x,3,manual_x_3V_cleaned.csv
-3.823047,-0.896582,14.606348,-3.526855,-0.937695,14.419238,-3.759863,-0.745996,14.191602,-4.151172,0.521289,-14.089063,-4.285156,0.910645,-14.421094,-4.417676,0.955078,-14.018652,4.063086,0.953613,13.981445,4.420898,0.782324,14.032227,4.353027,0.704199,14.1875,3.922559,-1.094727,-14.104688,3.995996,-1.017578,-14.04668,4.186133,-0.762305,-14.055273,-4.075455666666667,14.179484166666665,0.8568359166666668,0.030657019276330733,manual_x,3,manual_x_3V_cleaned.csv
-4.265527,-0.904883,14.499902,-3.958984,-0.945703,14.31709,-4.192285,-0.754297,14.080957,-4.573437,0.520508,-13.974902,-4.718359,0.90957,-14.299902,-4.83877,0.959668,-13.890039,4.482129,0.958496,13.862598,4.843359,0.791504,13.903223,4.778418,0.724805,14.060254,4.345898,-1.108594,-13.984961,4.417871,-1.019727,-13.933398,4.608398,-0.767383,-13.936133,-4.501952916666667,14.061946583333334,0.8637615,0.03091643628183345,manual_x,3,manual_x_3V_cleaned.csv
-4.704395,-0.912695,14.379199,-4.388867,-0.952441,14.206738,-4.62002,-0.762109,13.967187,-4.991113,0.52168,-13.853516,-5.144824,0.908789,-14.170898,-5.257129,0.963086,-13.75957,4.897949,0.962109,13.737695,5.260742,0.799023,13.765918,5.199609,0.745801,13.924609,4.767676,-1.123047,-13.861816,4.837402,-1.018359,-13.81123,5.025488,-0.77002,-13.807813,-4.924601166666667,13.937182416666667,0.8699299166666667,0.030397161807215783,manual_x,3,manual_x_3V_cleaned.csv
-5.137793,-0.92002,14.251074,-4.816504,-0.960645,14.085645,-5.043164,-0.771484,13.841309,-5.406543,0.524707,-13.717578,-5.570801,0.907813,-14.029297,-5.669434,0.965918,-13.613379,5.309668,0.963379,13.595801,5.679688,0.808496,13.621973,5.614258,0.766113,13.780371,5.186621,-1.137207,-13.722754,5.253809,-1.017383,-13.677148,5.440039,-0.772266,-13.667773,-5.344026833333333,13.800341833333334,0.8762859166666668,0.031126933111529025,manual_x,3,manual_x_3V_cleaned.csv
-5.566309,-0.927344,14.107227,-5.239355,-0.96748,13.948633,-5.462891,-0.777148,13.703516,-5.812402,0.526855,-13.566016,-5.987012,0.905664,-13.871094,-6.075879,0.968457,-13.452344,5.714648,0.965332,13.449707,6.083301,0.814941,13.457422,6.021094,0.785449,13.620996,5.597266,-1.151367,-13.573047,5.661816,-1.017285,-13.526855,5.847363,-0.777051,-13.511816,-5.755778,13.649056083333335,0.8820310833333334,0.029882422012524567,manual_x,3,manual_x_3V_cleaned.csv
-5.988086,-0.932813,13.952637,-5.655371,-0.974609,13.799414,-5.874219,-0.786328,13.548145,-6.213867,0.527832,-13.407227,-6.400879,0.904297,-13.703027,-6.47627,0.971973,-13.282715,6.114063,0.969531,13.283008,6.483887,0.824316,13.280957,6.427148,0.805371,13.449023,6.002344,-1.164453,-13.408594,6.065137,-1.016016,-13.368652,6.248535,-0.779883,-13.349512,-6.162483833333333,13.486075916666667,0.8881184999999999,0.030620855451992227,manual_x,3,manual_x_3V_cleaned.csv
