channel,polarity,sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
ch1,positive,0.617055,13.516281,-0.344932,0.772134,13.1214,-0.287674,0.579296,12.818937,-0.439103,0.15908,12.561423,-0.438822,0.160519,13.381773,-0.191027,-0.101844,12.908449,-0.240513,0.163796,12.80164,-0.161043,-0.134004,13.117237,-0.390979,-0.022523,13.142685,-0.638204,0.246286,12.556706,-0.258308,0.251835,12.785,-0.169011,0.07758,12.824537,-0.377821
ch1,negative,-0.56106,-14.173158,0.382856,-0.726175,-13.760377,0.328328,-0.521854,-13.432185,0.480766,-0.083747,-13.179526,0.486013,-0.080898,-14.030001,0.226101,0.194177,-13.520669,0.274445,-0.088429,-13.409729,0.191851,0.227343,-13.724679,0.430503,0.107416,-13.742618,0.687841,-0.174152,-13.156973,0.294196,-0.181823,-13.395752,0.202521,0.000918,-13.424821,0.421467
ch2,positive,-14.66505,0.654338,0.316014,-14.04951,0.799536,0.210353,-13.986349,0.570891,0.261122,-13.60173,-0.246732,0.780858,-14.416803,-0.429457,0.493081,-13.992319,-0.46093,0.398988,-13.687549,-0.585433,0.139337,-14.154393,-0.979872,0.612176,-13.993382,-1.205774,0.745862,-13.608036,-0.584026,0.656637,-13.799625,-0.000144,0.32361,-13.905354,-0.305099,0.937297
ch2,negative,14.813198,-0.891306,-0.495935,14.178613,-0.980333,-0.285739,14.122964,-0.790053,-0.436791,13.743098,-0.023647,-0.655802,14.568549,0.233385,-0.386659,14.117534,0.330141,-0.495007,13.792252,0.348301,-0.100255,14.253063,0.814105,-0.785884,14.102198,0.892055,-0.539041,13.686328,0.336637,-0.584453,13.887032,-0.245806,-0.654665,13.976535,-0.01616,-0.324625
ch3,positive,0.042715,1.047815,15.3379,0.022803,0.951563,14.957876,0.039935,1.217906,14.866999,0.003008,1.166551,14.649308,-0.008774,0.893619,15.320468,-0.013929,0.92596,14.899835,-0.002432,-0.654768,14.776957,-0.014825,-0.482443,14.973458,0.006732,-0.285823,14.980053,-0.060109,-0.454082,14.578813,-0.03462,-0.689221,14.640113,-0.045611,-0.408023,14.727638
ch3,negative,0.008306,-1.275748,-15.408249,0.001513,-1.175974,-15.023476,0.018768,-1.425727,-14.915789,0.044304,-1.399898,-14.644779,0.045702,-1.140233,-15.373988,0.047148,-1.15635,-15.009412,-0.014918,0.445678,-14.817002,-0.028738,0.266778,-15.024704,0.004872,0.070557,-15.085056,-0.012445,0.230863,-14.707764,0.010555,0.477106,-14.745491,-0.024552,0.182205,-14.789393
