Channel,Component,1V,2V,3V,4V,5V
X Channel,bx,0.0087,0.0122,0.0193,0.0283,0.0444
X Channel,by,0.0113,0.0156,0.0204,0.0324,0.0548
X Channel,bz,0.0116,0.0225,0.0339,0.0389,0.0852
Y Channel,bx,0.0107,0.02,0.0294,0.0333,0.0609
Y Channel,by,0.0108,0.0212,0.0296,0.0392,0.0724
Y Channel,bz,0.011,0.0224,0.0335,0.0386,0.084
Z Channel,bx,0.0116,0.0216,0.0318,0.0575,0.0224
Z Channel,by,0.0231,0.0436,0.0448,0.0155,0.0561
Z Channel,bz,0.0125,0.0257,0.0296,0.0427,0.0509
